,6,3,0
0,desss-portfolio.com,2023-01-22,45
1,desss.com,2023-02-12,66
2,zunamelt.com,2023-02-12,66
3,trophydeals.com,2023-07-27,231
4,trophydeals.com,2023-07-27,231
